Id,Text
1,بحثا عن الأنا المرأة والآخر الرجل
2,الرجال في اسبانيا مؤخرا وكان عام الرجال ولهذا يعاني بعض كبار السن من 
3,اختبار علاج جيني على مريض ينزف الدم واشنطن رويترز قال باحثون أمس ان مريضا ينزف الدم هيموفيليا يبلغ من العمر عاما سيصبح أول من يخضع لتجربة علاج جيني جديدة وجرى استخدام فيروس لحمل الجين المسؤول عن مركب التجلط في الدم لجسد الرجل على أمل ان يستقر في خلاياه وان يبدأ في افرازه بصورة طبيعية ويعاني المريض الذي لم يذكر اسمه من مرض هيموفيليا ايه وهو اضطراب غير وراثي في نزف الدم وعادة ما يؤدي 
4,بانه الرجل الثاني في الحزب الكردستاني الذي 
5,الحدود ان الرجل ممنوع من مغادرة دولة الكويت انه عندما سألت الشرطة الرجل عن الوثيقة 
6,ويصور اوجلان نفسه على انه الرجل الوحيد 
7,مسؤوليات الرجل فليس اهم من تنشئة الجيل الرجل فيما تستطيع وما هي مؤهلة له وأعلان 
8,اعتقال مسبب الانفجار بصنعاء صنعاء رويترز قالت وكالة انباء سبأ انه تم اعتقال رجل بتهمة القاء قنبلة على سوق مزدحمة في اليمن مما ادى الى مقتل اربعة واصابة شخصا بجروح وابلغ مسؤول امن الوكالة بأن الرجل بدأ اطلاق النار من سلاح ناري على الحشد بعد القاء القنبلة واضاف المسؤول الامني دون ان يذكر مزيدا من التفاصيل ان قوات الامن اعتقلت المجرم وبدأت في استجوابه للتأكد من اسباب ودافع هذا الحادث 
9,من الرجل الذي يشكلن خطورة عليه ويتقن 
10,بوادر نمو هذا التيار من اعلان الرجل الثاني 
11,اغتيال حشاني لم يؤثر على مسيرة الوئام في الجزائر القاهرة ق ن ا اكد غوثي مقامشة وزير العدل الجزائري ان مسيرة الوئام الوطني في الجزائر مستمرة على الرغم من اغتيال الشيخ عبدالقادر حشاني الرجل الثالث في الجبهة الاسلامية للانقاذ المحظورة وقال ان كل الجزائريين اكدوا ذلك وان هذه النقطة السوداء التي تثبت ان هناك قلة ضد مسيرة الوئام لن تثنينا عن موقفنا بل انها ستدفعنا الى التقدم الى الامام لاستعادة 
12,العالم يقول هذا الرجل لقد اخترت ان اعيش مخططا لها ومقصودة هذا الرجل اذا 
13,ان الرجل الناجح وظيفيا لا يتحقق الا 
14,واهدار لكرامة ركابها بواسطة اشخاص الرجل 
15,يمكن في دلال على الرجل وتسرق حافظة 
16,سنة اي عام م لتتساوى مع الرجل في لرعاية اطفالهن اضافة الى ان كلا من الرجل 
17,الرجل الذي قتل كان يرتدي لباس الميليشيا 
18,الرجل في مواقع العطاء والمسؤولية اثبتت الجزيرة الملك عبدالعزيز الرجل الذي بين الرجل والمرأة في نموذج اجتماعي تحقيق الامن للمرأة بوجود الرجل الفاعل ولتقف جنبا الى جنب مع الرجل في مختلف وكذلك التزام الرجل بما اوجبه الله عليه منجزات المرأة لمنجزات الرجل وهما معا الرجل في تدرج مراحله الا ان الدولة تراعي والمناقشة بدون تحرج من الرجل لوشاركها ميادين كان الرجل يسافر لطلب الرزق وهي تقوم بدور 
19,السعودية شقيقة الرجل وحاملة لواء التنمية معه على الرجل فقط إذ فتح البنك السعودي 
20,الى وليمة الرجل منا يطالب زوجته بان تظهر 
21,ينطبق على المرأة فقط بل يشمل الرجل ايضا 
22,ولنبدأ أولا بتعريف الرجل المكير والخداع تعريف الرجل الخداع بأنه شخص يحاول كسب يبغي اليه أما الرجل الخداع الجيد هو ذلك 
23,تصويرية ونجاح الرجل الاعلامي في اي مجال بأنه لم يجد الدعم الذي يقوم به الرجل 
24,الادارات الحكومية وضع الرجل المناسب في 
25,وهو الاستثارة الجنسية عند الرجل ويجب لدى الرجل حيث ان طريقة عمله الموضعية 
26,رضي الله عنه وكان يعرف ان الرجل كان كاذبا 
27,كانت الصدمة والمفاجأة هي موت الرجل 
28,الرجل السوسة ثمة شخص يحاول التقليل من شأنك هناك مريض يجتهد كي يدنس سجلك الأبيض إلا من خطابات الشكر والتقدير وتقارير الكفاءة أحدهم يحاول وضع العثرات في طريقك ليصيبك باليأس وتتهاوى معنوياتك إلى آخر نقطة في عمق أعماق الحضيض انتبه إنهم يدبرون لك أمرا تخلص منهم أو من نفسك افعل شيئا أي شيء حرك القلم أو المكتب أو أصابعك غير ملامح وجهك لتبدو منفعلا ويشجب ويندد ويزأر ويموء النهاية الرجل 
29,إن حكينا ندمنا وإن سكتنا قهر اكثر ماينضب الحياة في شرايين البشر معايشة شريك يعاني من الوسواس والشك وهذا للأسف من اكثر الامراض النفسية انتشارا لدينا ومع ذلك تختلف معاناة النساء من شك ازواجهن شكلا وموضوعا عن معاناة الرجال مع زوجاتهم حين يمرضن بالشك لان الناس تصدق شكوك الرجل فشكوكه تستمد مصداقيتها من متانة وجوده الاجتماعي وفي وقت لايفقد مصداقيته على الرجل استبدال المرأة بأكملها بامرأة 
30,الرجل إذا اعتقدنا بمقولة تربية القطاوة 
31,بين الرجل والمرأة او بما يعرف باسم 
32,الطريق الضيق قال أبودريد الدكتور وقادني المسير الى طريق ضيق قد لا يعبره الرجل السمين وسرت الى منتصفه فلقيني رجل عتل أغلق حجمه الطريق والطريق لا يتسع لمرور كلينا فوقفنا لنرى ما نفعله وحسبت أني الخاسر مع ذلك الفيل الذي لاشك أنه بعث من قوم عاد ولعجبي رأيته يعود ادراجه ماشيا الى الوراء فتبعته فلم أر أن بين جنبيه والجدار ما يسع لدخول الإبرة وعند نهاية الطريق استوقفته لأشكره 
33,البترول وتسويقه وهو الرجل المناسب في الزمن 
34,استشاط الرجل غضبا وبعد ان ارتفع لم يسقط الرجل مغشيا عليه ولكنه خرج من 
35,البترول وتسويقه وهو الرجل المناسب في الزمن 
36,المالك وعاد الرجل إلى المنشورة الرجل وقضية خالد المالك والجزيرة أو قضية الرجل والصحيفة والعلاقة بينهما رئيس التحرير أو الرجل هو العنصر والسر في ذلك يكمن في الرجل رئيس احتراما كبيرا ومحبة عميقة لهذا الرجل مرة أخرى إلى الرجل خاصة في فيه الصحافة العربية الرجل خالد جدا في قدرة الرجل على تحقيق البعث والنشور الرجل الذي يحيي صحيفة وينهض 
37,مثل مصير هذا الرجل حقيقة أن الطموح 
