Id,Text
1,النساء والأطفال أول ضحايا الأزمة الاقتصادية في آسيا مانيلا أ ف ب اعلنت ان النساء والاطفال في آسيا هم الذين النساء اكثر مما اساء الى الرجال فالنساء المرأة في منطقة حيث تدفع لملايين النساء البلدان فإن الارقام تثبت ان وضع النساء الفلبين ارتفعت البطالة بين النساء بنسبة المدن والارياف تدنت عائدات النساء اكثر من النساء قليلة بين المهاجرين في م فانهن نسبة النساء بين العمال المهاجرين من
2,إقبال كبير على أول انتخابات بلدية في قطر الدوحة رويترز توجه القطريون الى مراكز الاقتراع لانتخاب المجلس البلدي المركزي في انتخابات تاريخية تمارس فيها المرأة لأول مرة حق الانتخاب وحق ترشيح نفسها لخوض السباق وقال شهود عيان ان الناخبين توافدوا على مراكز الانتخاب فور ان فتحت ابوابها وانه بحلول الساعة ظهرا كان في المائة ممن يحق لهم الانتخاب قد أدلوا بأصواتهم وقال محمد المالكي وهو
3,توظيف المواطنين وحيّا سموه المرأة السعودية
4,على سؤال لالجزيرة حول مساهمة المرأة المرأة منا وفينا ولها مجالها وعملها ولا
5,إعلان الأمم المتحدة عام عاما لغرس بذور السلام زنزيبا أ ش أ اكد مدير عام منظمة الامم المتحدة للتربية والثقافة والعلوم اليونسكو فيديريكو مايور التزام المنظمة بتعزيز مفهوم السلام من خلال مختلف مجالات التعليم والعلوم الاجتماعية والانسانية والثقافة والاتصالات واضاف ما يور في الكلمة التي القاها امام مؤتمر المرأة الافريقية ومفهوم السلام في القارة المنعقد حاليا في زنزيبار تنزانيا ان
6,ربما الشرطة تظل المرأة دائما قضية ساخنة في اذهان كل فئات المجتمع فهي تشكل باستمرار الوجبة الدسمة لشحذ الانتباه واثارة التأمل واشياء اخرى للاسف والا فلم كل هذه الضجة حول المرأة بالذات هناك رجال لم يظفروا ببعض ما عندها حتى اصبح لدينا بالذات عندما تكون المرأة انبوبة اختبار لها بوجود عمل مهم ومهمل فعلاً يحتاج المرأة والتحقيق النسائي فنحن نحتاج المرأة بخلاف ان المرأة تفهم ألاعيب النساء اكثر
7,وحقوق المرأة وانهاء ما وصفه بالاضطهاد
8,ثقافة المشاركة للرجل جعلت المرأة بعيدة عن مسحاً تم مؤخراً اوضح ان وضع المرأة في المرأة رئاسة مجلس ادارة البنك المركزي السبب الرئيسي الذي جعل المرأة الامريكية حقوق المرأة العاملة افتقدت الى الحماية القانونية التي تمتعت بها المرأة الامريكية تجربتها وجدت ان المرأة لا تتقدم للوظائف ما اذا كانت المرأة ستظل تلعب فقط دور الفتاة المطيعة وليس المرأة المشاركة في حقل إذن ماذا يجعل المرأة تتقلد اعلى الوظائف
9,من ذلك ربة المنزل وتوعية المرأة لمن
10,النساء القياديات في عام م اجرت كلية العلوم الادارية بجامعة هيوستن الامريكية بالتعاون مع مؤسسة نساء هيوستن الوقفية مؤخرا بحثاً عن وضع المرأة الوظيفي في الامور الان فإن المرأة تحتاج الى بأنهم افضل من منافسيهم في توظيف المرأة جانب المرأة البعض الآخر يرى ان المرأة لا يمكن ان تحقق نجاحاً كامرأة في عاماً عن تعيين المرأة في وظائف تقود الى وطبيعة المرأة ومن التوصيات التي توصل
11,الزواج من غير سعودية وكذلك المرأة
12,المتاحة لحماية المرأة وفيما يتعلق بالنساء إطار تعزيز الجهود المتعلقة بحماية المرأة
13,التطوعي بهدف رفع مستوى المرأة ومعايشتها الحياتية المرأة السعودية ابدعت فكرياً ونحاور انفسنا حول امن المرأة السعودية فالامن بأن المرأة السعودية كسبت ثقة ولاة الامر الاجتماعية وتعاليم دينها وكذلك المرأة ان امن المرأة السعودية يستمد من سلامة المنعطف نقف مع امن المرأة السعودية حيث ان وكان يرحمه الله يكرم المرأة ويحترمها عبدالعزيز يكرم كل من حوله ويكرم المرأة في أمن المرأة تتوالى معطيات الحضارة
